N,175,391
N,118,405
N,460,78
N,67,272
N,165,482
N,180,325
N,281,339
N,242,321
N,387,152
N,27,445
E,460,78,242,321
E,460,78,281,339
E,67,272,281,339
E,118,405,165,482
E,460,78,67,272
E,165,482,387,152
E,165,482,242,321
E,175,391,387,152
E,175,391,27,445
E,118,405,180,325
E,175,391,242,321
E,180,325,281,339
E,67,272,27,445
E,165,482,281,339
E,387,152,27,445
E,460,78,165,482
E,180,325,242,321
E,165,482,180,325
E,118,405,281,339
E,460,78,387,152
E,180,325,27,445
E,67,272,165,482
E,460,78,27,445
E,175,391,165,482
E,281,339,387,152
E,165,482,27,445
E,460,78,180,325
E,175,391,281,339
E,242,321,387,152
E,281,339,242,321
E,180,325,387,152
E,281,339,27,445
E,67,272,242,321
