N,149,328
N,381,460
N,464,266
N,159,396
N,207,43
N,378,264
N,469,435
N,440,105
N,221,69
N,340,151
N,36,55
N,347,303
N,9,82
N,286,200
N,326,379
N,246,213
N,104,367
N,331,435
N,319,363
N,276,343
N,58,50
N,98,447
N,248,372
N,179,446
N,225,101
N,346,266
N,141,354
N,51,181
N,261,432
N,86,39
N,108,187
N,60,13
N,17,48
N,198,216
N,438,5
N,41,97
N,400,369
N,106,231
N,497,378
N,196,51
N,444,22
N,461,210
N,380,484
N,36,222
N,427,261
N,204,86
N,97,324
N,263,353
N,142,430
N,456,38
N,279,238
N,49,462
N,251,166
N,55,262
N,94,63
N,433,408
N,423,247
N,82,98
N,336,461
N,3,119
N,288,326
N,351,362
N,340,39
N,483,265
N,328,210
N,327,477
N,74,422
N,221,343
N,251,468
N,223,423
N,385,97
N,324,179
N,354,187
N,255,34
N,375,308
N,410,242
N,135,179
N,254,182
N,84,487
N,340,231
N,322,329
N,165,131
N,152,210
N,170,468
N,72,188
N,118,210
N,0,432
N,352,386
N,311,462
N,160,194
N,458,23
N,244,139
N,26,342
N,164,21
N,375,437
N,429,414
N,337,82
N,196,207
N,385,259
N,80,204
N,430,431
N,231,487
N,382,71
N,335,279
N,24,159
N,202,233
N,431,460
N,444,459
N,155,139
N,0,149
N,473,245
N,13,171
N,362,182
N,246,166
N,103,331
N,106,36
N,195,443
N,276,224
N,229,473
N,44,489
N,15,267
N,482,396
N,328,337
N,201,493
N,164,221
N,496,451
N,182,354
N,96,390
N,344,46
N,290,435
N,306,361
N,303,43
N,242,95
N,322,470
N,445,478
N,157,406
N,443,345
N,271,82
N,474,320
N,59,473
N,318,489
N,103,292
N,157,115
N,137,433
N,237,17
N,389,161
N,304,308
N,24,239
N,139,400
N,286,400
N,184,163
N,86,286
N,71,254
N,374,421
N,367,103
N,189,418
N,133,31
N,442,255
N,272,366
N,114,14
N,135,255
N,346,157
N,156,209
N,36,303
N,175,482
N,160,244
N,35,481
N,85,339
N,236,444
N,101,186
N,401,461
N,286,349
N,476,486
N,298,352
N,390,331
N,146,355
N,397,376
N,284,215
N,277,435
N,28,458
N,328,235
N,431,194
N,250,395
N,167,391
N,168,496
N,132,2
N,382,182
N,94,238
N,391,215
N,405,84
N,301,1
N,109,458
N,341,254
N,223,498
N,188,99
N,6,457
N,437,439
N,432,73
N,378,150
N,284,138
E,15,267,237,17
E,385,97,36,303
E,483,265,165,131
